cinema	listing_title	candidate_tmdb_id	verdict	correct_tmdb_id	evidence
Bunkamura ル・シネマ 渋谷宮下	海辺の一日	106373	CORRECT		The independent source identifies 海辺の一日 as 楊德昌’s 1983 film, matching the proposed TMDB record (https://taiwancinema.bamid.gov.tw/Film/Filmcontent/?ContentUrl=20405).
Bunkamura ル・シネマ 渋谷宮下	急に具合が悪くなる	1476614	CORRECT		The independent source identifies 急に具合が悪くなる as 濱口竜介’s 2026 film, matching the proposed TMDB record (https://lp.p.pia.jp/event/movie/414585/index.html).
Bunkamura ル・シネマ 渋谷宮下	シラート	1151272	CORRECT		The independent source identifies シラート as オリベル・ラシェ’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/103729/).
CINEMA AMIGO	わたしの聖なるインド	1190669	CORRECT		The independent source identifies わたしの聖なるインド as Nausheen Khan’s 2023 film, matching the proposed TMDB record (https://eiga.com/movie/105801/).
CINEMA AMIGO	アメリと雨の物語	682012	CORRECT		The independent source identifies アメリと雨の物語 as Maïlys Vallade’s 2025 film, matching the proposed TMDB record (https://littleamelie-movie.com/).
CINEMA AMIGO	みつけた、みつけた　分別と多感	69426	CORRECT		The independent source identifies みつけた、みつけた　分別と多感 as Rajiv Menon’s 2000 film, matching the proposed TMDB record (https://eiga.com/movie/106122/).
CINEMA Chupki TABATA	ゴールデンカムイ　網走監獄襲撃編	1397201	CORRECT		The independent source identifies ゴールデンカムイ　網走監獄襲撃編 as 片桐健滋’s 2026 film, matching the proposed TMDB record (https://www.toho.co.jp/movie/news/kamuy-movie_2_20260225).
CINEMA Chupki TABATA	1975年のケルン・コンサート	1171153	CORRECT		The independent source identifies 1975年のケルン・コンサート as Ido Fluk’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/105220/).
CINEMA Chupki TABATA	坂口恭平生活	1662957	CORRECT		The independent source identifies 坂口恭平生活 as 小宮雄貴’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105553/).
CINEMA Chupki TABATA	TRUE KYOHEI SAKAGUCHI SHOW 坂口恭平生活	1662957	CORRECT		The independent source identifies TRUE KYOHEI SAKAGUCHI SHOW 坂口恭平生活 as 小宮雄貴’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105553/).
